id,exercise_name,body_part,type,equipment,difficulty,met_value,goal_tag,sets_recommended,reps_recommended,rest_time_sec,recommended_weight_kg,video_url
18,Assisted Pull-Up,Back,Compound,Machine,Beginner,4,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
323,Banded Pull-Aparts,Shoulders,Pre Workout,Resistance Band,Intermediate,3.5,Muscle Gain,3,20,15,Bodyweight,https://www.youtube.com/watch?v=banded-pull-aparts
349,Band Resisted Hip Flexion,Hips,Pre Workout,Resistance Band,Advanced,4.5,Muscle Gain,3,15 each side,20,Bodyweight,https://www.youtube.com/watch?v=band-hip-flexion
144,Barbell 21s,Arms,Isolation,Barbell,Advanced,4.5,Strength,4,21,90,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
262,Barbell Back Squat,Legs,Compound,Barbell,Advanced,7,Muscle Gain,4-5,6-10,120,60-140,https://www.youtube.com/watch?v=dQw4w9WgXcQ
75,Barbell Back Squat,Legs,Compound,Barbell,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
76,Barbell Back Squat,Legs,Compound,Barbell,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
198,Barbell Bench Press,Chest,Compound,Barbell,Advanced,5.5,Muscle Gain,4-5,6-10,90,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
55,Barbell Bench Press,Chest,Compound,Barbell,Intermediate,5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
56,Barbell Bench Press,Chest,Compound,Barbell,Intermediate,5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
155,Barbell Bent-Over Row,Back,Compound,Barbell,Advanced,6.5,Fat Loss,4,12-15,45,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
246,Barbell Clean and Press,Full Body,Compound,Barbell,Advanced,9,Muscle Gain,4-5,5-8,120,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
243,Barbell Complex,Full Body,Compound,Barbell,Advanced,10,Fat Loss,4,6 each,45,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
95,Barbell Curl,Arms,Isolation,Barbell,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
96,Barbell Curl,Arms,Isolation,Barbell,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
247,Barbell Front Squat,Full Body,Compound,Barbell,Advanced,7.5,Muscle Gain,4,5-8,120,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
263,Barbell Front Squat,Legs,Compound,Barbell,Advanced,7.5,Muscle Gain,4,6-10,120,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
235,Barbell Hang Clean,Full Body,Compound,Barbell,Intermediate,8,Muscle Gain,4,6-8,90,40-70,https://www.youtube.com/watch?v=dQw4w9WgXcQ
183,Barbell Heavy Calf Raise,Calves,Isolation,Barbell,Advanced,4,Strength,5,4-6,120,80-140,https://www.youtube.com/watch?v=dQw4w9WgXcQ
265,Barbell Hip Thrust,Legs,Isolation,Barbell,Advanced,5,Muscle Gain,4,8-12,90,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
347,Barbell Hip Thrust Activation,Glutes,Pre Workout,Barbell,Advanced,6,Muscle Gain,3,15,30,20-40,https://www.youtube.com/watch?v=barbell-hip-thrust-activation
239,Barbell Push Press,Full Body,Compound,Barbell,Intermediate,6.5,Strength,4,5-8,120,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
234,Barbell Romanian Deadlift,Full Body,Compound,Barbell,Intermediate,6,Muscle Gain,4,8-12,90,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
69,Barbell Row,Back,Compound,Barbell,Intermediate,5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
70,Barbell Row,Back,Compound,Barbell,Intermediate,5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
174,Barbell Standing Calf Raise,Calves,Isolation,Barbell,Intermediate,3.5,Strength,4,8-10,75,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
275,Barbell Upright Row,Shoulders,Compound,Barbell,Advanced,6,Fat Loss,4,12-15,45,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
259,Barbell Walking Lunge,Legs,Compound,Barbell,Advanced,7.5,Fat Loss,4,12-15,45,40-70,https://www.youtube.com/watch?v=dQw4w9WgXcQ
280,Barbell Z-Press,Shoulders,Compound,Barbell,Advanced,5.5,Muscle Gain,4,6-8,90,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
242,Battle Ropes,Full Body,Compound,Cable,Advanced,10.5,Fat Loss,5,30 sec,30,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
272,Battle Rope Shoulder Wave,Shoulders,Compound,Cable,Intermediate,8.5,Fat Loss,4,30 sec,35,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
314,Bear Crawl,Full Body,Pre Workout,Bodyweight,Intermediate,6,Strength,4,20 meters,30,Bodyweight,https://www.youtube.com/watch?v=bear-crawl
206,Bicycle Crunch,Core,Isolation,Bodyweight,Intermediate,4,Fat Loss,3-4,20-30,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
204,Bird Dog,Core,Isolation,Bodyweight,Beginner,3,Strength,3,10-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
219,Bodyweight Squat,Full Body,Compound,Bodyweight,Beginner,4.5,Fat Loss,3,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
300,Bodyweight Squats,Legs,Pre Workout,Bodyweight,Beginner,3.5,Muscle Gain,2,15,20,Bodyweight,https://www.youtube.com/watch?v=bodyweight-squats
166,Box Jump,Calves,Compound,Bodyweight,Intermediate,9.5,Fat Loss,4,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
333,Box Jumps,Full Body,Pre Workout,Plyo Box,Advanced,10,Strength,4,8-10,45,Bodyweight,https://www.youtube.com/watch?v=box-jumps
285,Brisk Walking,Full Body,Pre Workout,Bodyweight,Beginner,4.3,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=brisk-walking
342,Broad Jumps,Full Body,Pre Workout,Bodyweight,Advanced,10,Strength,4,6-8,45,Bodyweight,https://www.youtube.com/watch?v=broad-jumps
329,Broad Jump to Backpedal,Full Body,Pre Workout,Bodyweight,Intermediate,8,Fat Loss,4,6,30,Bodyweight,https://www.youtube.com/watch?v=broad-jump-backpedal
81,Bulgarian Split Squat,Legs,Compound,Bodyweight,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
82,Bulgarian Split Squat,Legs,Compound,Bodyweight,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
254,Bulgarian Split Squat,Legs,Compound,Dumbbell,Intermediate,7,Fat Loss,4,12-15,45,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
124,Burpees,Full Body,Compound,Bodyweight,Advanced,9,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
291,Butt Kicks,Legs,Pre Workout,Bodyweight,Beginner,7,Fat Loss,3,30 sec,20,Bodyweight,https://www.youtube.com/watch?v=butt-kicks
9,Cable Chest Fly,Chest,Isolation,Cable,Beginner,3.5,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
10,Cable Chest Fly,Chest,Isolation,Cable,Beginner,3.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
196,Cable Crossover,Chest,Isolation,Cable,Advanced,3.5,Fat Loss,4,15-20,40,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
105,Cable Crunch,Core,Isolation,Cable,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
106,Cable Crunch,Core,Isolation,Cable,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
39,Cable Curl,Arms,Isolation,Cable,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
40,Cable Curl,Arms,Isolation,Cable,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
151,Cable Face Pull,Back,Isolation,Cable,Intermediate,4.5,Fat Loss,3-4,15-20,45,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
273,Cable Front Raise,Shoulders,Isolation,Cable,Intermediate,3.5,Fat Loss,3-4,15-20,40,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
132,Cable Hammer Curl,Arms,Isolation,Cable,Intermediate,3.5,Fat Loss,3-4,15-20,40,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
269,Cable Lateral Raise,Shoulders,Isolation,Cable,Beginner,3,Strength,3,12-15,60,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
136,Cable Overhead Tricep Extension,Arms,Isolation,Cable,Advanced,3.5,Fat Loss,4,12-15,45,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
281,Cable Rear Delt Fly,Shoulders,Isolation,Cable,Advanced,3.5,Muscle Gain,4,10-12,75,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
161,Cable Straight-Arm Pulldown,Back,Isolation,Cable,Advanced,5,Muscle Gain,4,10-12,75,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
277,Cable Y-Raise,Shoulders,Isolation,Cable,Advanced,3.5,Fat Loss,4,12-15,45,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
321,Carioca Drill,Full Body,Pre Workout,Bodyweight,Intermediate,7,Fat Loss,3,20 meters each side,25,Bodyweight,https://www.youtube.com/watch?v=carioca-drill
302,Cat-Cow Stretch,Spine,Pre Workout,Bodyweight,Beginner,2,Strength,2,10,15,Bodyweight,https://www.youtube.com/watch?v=cat-cow-stretch
149,Chest-Supported Row,Back,Compound,Dumbbell,Beginner,3.5,Strength,3,10-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
67,Chin-Up,Back,Compound,Bodyweight,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
68,Chin-Up,Back,Compound,Bodyweight,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
118,Clean,Full Body,Compound,Barbell,Advanced,9.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
101,Close Grip Bench Press,Arms,Compound,Barbell,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
102,Close Grip Bench Press,Arms,Compound,Barbell,Intermediate,4.8,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
139,Close-Grip Bench Press,Arms,Compound,Barbell,Advanced,5.5,Muscle Gain,4,6-8,90,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
134,Concentration Curl,Arms,Isolation,Dumbbell,Intermediate,3.8,Fat Loss,3-4,12-15,45,8-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
138,Cross Body Hammer Curl,Arms,Isolation,Dumbbell,Advanced,3.5,Fat Loss,4,12-15,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
47,Crunch,Core,Isolation,Bodyweight,Beginner,3,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
48,Crunch,Core,Isolation,Bodyweight,Beginner,3,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
203,Dead Bug,Core,Isolation,Bodyweight,Beginner,3,Strength,3,10-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
327,Dead Bug,Core,Pre Workout,Bodyweight,Intermediate,3.5,Strength,3,10 each side,20,Bodyweight,https://www.youtube.com/watch?v=dead-bug
114,Deadlift,Back,Compound,Barbell,Advanced,7.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
195,Decline Barbell Bench Press,Chest,Compound,Barbell,Advanced,6.5,Fat Loss,4,12-15,45,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
61,Decline Push-Up,Chest,Compound,Bodyweight,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
62,Decline Push-Up,Chest,Compound,Bodyweight,Intermediate,4.2,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
157,Deficit Deadlift,Back,Compound,Barbell,Advanced,8.5,Fat Loss,4,8-10,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
177,Depth Jump,Calves,Compound,Bodyweight,Advanced,10,Fat Loss,4,10-12,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
334,Depth Jumps,Full Body,Pre Workout,Plyo Box,Advanced,11,Strength,4,6-8,45,Bodyweight,https://www.youtube.com/watch?v=depth-jumps
129,Diamond Push-Up,Arms,Compound,Bodyweight,Beginner,3.8,Strength,3,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
63,Dips,Chest,Compound,Bodyweight,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
64,Dips,Chest,Compound,Bodyweight,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
180,Donkey Calf Raise,Calves,Isolation,Machine,Advanced,3.5,Muscle Gain,5,8-12,75,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
214,Dragon Flag,Core,Isolation,Bodyweight,Advanced,6,Muscle Gain,4,6-10,90,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
59,Dumbbell Bench Press,Chest,Compound,Dumbbell,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
60,Dumbbell Bench Press,Chest,Compound,Dumbbell,Intermediate,4.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
233,Dumbbell Burpee,Full Body,Compound,Dumbbell,Intermediate,9,Fat Loss,4,10-12,45,10-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
190,Dumbbell Chest Fly,Chest,Isolation,Dumbbell,Intermediate,3.5,Fat Loss,3-4,15-20,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
186,Dumbbell Chest Press,Chest,Compound,Dumbbell,Beginner,3.8,Strength,3,8-10,75,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
236,Dumbbell Clean and Press,Full Body,Compound,Dumbbell,Intermediate,7,Muscle Gain,3-4,8-10,90,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
276,Dumbbell Cuban Press,Shoulders,Compound,Dumbbell,Advanced,5.5,Fat Loss,4,12-15,45,8-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
35,Dumbbell Curl,Arms,Isolation,Dumbbell,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
36,Dumbbell Curl,Arms,Isolation,Dumbbell,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
223,Dumbbell Deadlift,Full Body,Compound,Dumbbell,Beginner,4.5,Muscle Gain,3,10-12,60,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
227,Dumbbell Farmer Carry,Full Body,Compound,Dumbbell,Beginner,5,Strength,3,30 sec,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
270,Dumbbell Lateral Raise,Shoulders,Isolation,Dumbbell,Intermediate,3.5,Fat Loss,3-4,15-20,40,8-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
250,Dumbbell Lunges,Legs,Compound,Dumbbell,Beginner,3.7,Strength,3,10-12,60,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
154,Dumbbell Meadows Row,Back,Compound,Dumbbell,Intermediate,5,Fat Loss,3-4,12-15,45,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
200,Dumbbell Pullover,Chest,Isolation,Dumbbell,Advanced,4,Muscle Gain,4,8-12,75,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
224,Dumbbell Romanian Deadlift,Full Body,Compound,Dumbbell,Beginner,4.5,Muscle Gain,3,10-12,60,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
71,Dumbbell Row,Back,Compound,Dumbbell,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
72,Dumbbell Row,Back,Compound,Dumbbell,Intermediate,4.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
29,Dumbbell Shoulder Press,Shoulders,Compound,Dumbbell,Beginner,4.5,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
30,Dumbbell Shoulder Press,Shoulders,Compound,Dumbbell,Beginner,4,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
266,Dumbbell Shoulder Press,Shoulders,Compound,Dumbbell,Beginner,4,Strength,3,8-10,75,8-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
147,Dumbbell Single-Arm Row,Back,Compound,Dumbbell,Beginner,3.7,Strength,3,8-10,75,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
222,Dumbbell Squat to Press,Full Body,Compound,Dumbbell,Beginner,5.5,Muscle Gain,3,10-12,60,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
171,Dumbbell Standing Calf Raise,Calves,Isolation,Dumbbell,Intermediate,3,Muscle Gain,4,10-12,60,20-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
257,Dumbbell Step-Up,Legs,Compound,Dumbbell,Intermediate,5.5,Fat Loss,3-4,12-15,45,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
230,Dumbbell Thruster,Full Body,Compound,Dumbbell,Intermediate,8,Fat Loss,4,15-20,40,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
142,Dumbbell Zottman Curl,Arms,Isolation,Dumbbell,Advanced,3.5,Muscle Gain,3-4,8-10,75,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
315,Dynamic Lunge with Rotation,Full Body,Pre Workout,Bodyweight,Intermediate,5.5,Muscle Gain,3,12 each leg,20,Bodyweight,https://www.youtube.com/watch?v=dynamic-lunge-rotation
288,Elliptical Trainer,Full Body,Pre Workout,Elliptical Machine,Beginner,5,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=elliptical-trainer
324,Elliptical Trainer - High Resistance,Full Body,Pre Workout,Elliptical Machine,Intermediate,7.5,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=elliptical-high-resistance
168,Explosive Calf Jump,Calves,Compound,Bodyweight,Intermediate,8,Fat Loss,3-4,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
110,Explosive Push-Up,Chest,Compound,Bodyweight,Advanced,8,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
335,Explosive Push-Up,Chest,Pre Workout,Bodyweight,Advanced,9,Strength,4,10-12,30,Bodyweight,https://www.youtube.com/watch?v=explosive-push-up
122,Explosive Shoulder Press,Shoulders,Compound,Barbell,Advanced,7.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
127,EZ Bar Curl,Arms,Isolation,Barbell,Beginner,3.5,Strength,3,8-10,75,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
93,Face Pull,Shoulders,Isolation,Cable,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
94,Face Pull,Shoulders,Isolation,Cable,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
126,Farmer’s Walk,Full Body,Compound,Dumbbell,Advanced,7.2,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
188,Floor Press,Chest,Compound,Dumbbell,Beginner,3.5,Strength,3,8-10,75,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
208,Flutter Kicks,Core,Isolation,Bodyweight,Intermediate,4,Fat Loss,3-4,30 sec,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
33,Front Raise,Shoulders,Isolation,Dumbbell,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
34,Front Raise,Shoulders,Isolation,Dumbbell,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
77,Front Squat,Legs,Compound,Barbell,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
78,Front Squat,Legs,Compound,Barbell,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
27,Glute Bridge,Legs,Compound,Bodyweight,Beginner,3.5,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
28,Glute Bridge,Legs,Compound,Bodyweight,Beginner,3,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
205,Glute Bridge Hold,Core,Isolation,Bodyweight,Beginner,3,Strength,3,30-45 sec,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
317,Glute Bridge March,Glutes,Pre Workout,Bodyweight,Intermediate,4,Muscle Gain,3,20 alternating,20,Bodyweight,https://www.youtube.com/watch?v=glute-bridge-march
226,Goblet Squat,Full Body,Compound,Dumbbell,Beginner,4.5,Strength,3,10-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
19,Goblet Squat,Legs,Compound,Dumbbell,Beginner,5,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
20,Goblet Squat,Legs,Compound,Dumbbell,Beginner,4.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
116,Hack Squat,Legs,Compound,Machine,Advanced,7,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
37,Hammer Curl,Arms,Isolation,Dumbbell,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
38,Hammer Curl,Arms,Isolation,Dumbbell,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
348,Hang Clean (Light),Full Body,Pre Workout,Barbell,Advanced,8,Strength,4,5,60,30-50,https://www.youtube.com/watch?v=hang-clean-light
103,Hanging Leg Raise,Core,Isolation,Bodyweight,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
104,Hanging Leg Raise,Core,Isolation,Bodyweight,Intermediate,4.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
217,Hanging Windshield Wiper,Core,Isolation,Bodyweight,Advanced,6,Muscle Gain,4,8-10,90,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
181,Heavy Leg Press Calf Raise,Calves,Isolation,Machine,Advanced,3.5,Muscle Gain,4-5,6-10,90,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
121,Heavy Overhead Press,Shoulders,Compound,Barbell,Advanced,7,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
290,High Knees,Full Body,Pre Workout,Bodyweight,Beginner,8,Fat Loss,3,30 sec,20,Bodyweight,https://www.youtube.com/watch?v=high-knees
322,Hip 90-90 Stretch,Hips,Pre Workout,Bodyweight,Intermediate,2.5,Strength,3,10 each side,15,Bodyweight,https://www.youtube.com/watch?v=hip-90-90-stretch
295,Hip Circles,Hips,Pre Workout,Bodyweight,Beginner,2.5,Strength,2,15 each direction,15,Bodyweight,https://www.youtube.com/watch?v=hip-circles
85,Hip Thrust,Legs,Compound,Barbell,Intermediate,5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
86,Hip Thrust,Legs,Compound,Barbell,Intermediate,5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
345,Hurdle Drills,Full Body,Pre Workout,Hurdles,Advanced,10,Fat Loss,4,10 hurdles,40,Bodyweight,https://www.youtube.com/watch?v=hurdle-drills
